name,total_time,goal,final_x,final_y,horizontal_speed,rate_of_climb
Rectangles,2000,max_height,2498.2,67.2,24.98,0.67
Rectangles,2000,max_distance,3156.8,0.0,31.57,0.0
RSBoi,2000,max_height,2448.3,104.0,24.48,1.04
RSBoi,2000,max_distance,3285.0,0.0,32.85,0.0
